queried_sp_name,sp_name,notes
Adesmia brachy,Adesmia brachysemeon,
Acaena pinn,Acaena pinnatifida,
Calceolaria arac,Calceolaria arachnoidea,
Calceolaria indet,,
Hippeastrum uni,,
Tropaeolum polyph,Tropaeolum polyphyllum,
Stenactis annuus,Erigeron annuus,
Galvezia leucantha pubescen,Galvezia leucantha,
Brachyome sinclairii,Brachyscome sinclairii,
Tyttnera scabra,Turnera scabra,
Tyttnera scabra,Turnera ulmifolia,
VVedelia biflora,Wedelia biflora,
VVedelia biflora,Melanthera biflora,
Aesculus camea,Aesculus X carnea,
Euonymus fo rtunei,Euonymus fortunei,
Equium sabulicola,Echium sabulicola,
Tristhema mauritiana,Tristemma mauritianum ,
Thaspium aureum atropurpurem,Thaspium trifoliatum,
Heliconia simulans,Heliconia angusta,
Pitcaimia flammea,Pitcairnia flammea,
Psittacanthus flavo viridis,Psittacanthus flavo-viridis,
Rodophiala bifidum,Rhodophiala bifida,
Opuntia aff. elata,Opuntia elata,
Xanthocolletes sicheli,,Colletidae family
Xanthocolletes incahuasi,,Colletidae family